headline,publisher,date,stock,clean_text,label,confidence,label_adjusted
"Beacon Capital Management, Inc. Buys Vanguard Materials ETF, Aurora Cannabis Inc, Cousins ...",GuruFocus,10/22/2019 0:00,CUZ,beacon capital management inc buys vanguard materials etf aurora cannabis inc cousins,negative,0.999986768,negative
What Falling Estimates & Price Mean for Avianca Holdings (AVH),Zacks,5/18/2018 0:00,AVH,falling estimates price mean avianca holdings avh,negative,0.999966979,negative
Will Myers Industries' (MYE) Q3 Earnings Miss Estimates? - Analyst Blog,Zacks,10/27/2014 0:00,DF,myers industries mye earnings miss estimates analyst blog,positive,0.999999404,positive
China responds to tariffs with 128 U.S. products to target,Seeking Alpha,3/22/2018 0:00,PGJ,china responds tariffs products target,negative,0.999945045,negative
Apple Leads Dow Lower; Chip Stocks Falter; Cirrus Logic Drops,Investor's Business Daily,4/11/2017 0:00,BEAT,apple leads dow lower chip stocks falter cirrus logic drops,positive,0.999913454,positive
Unusual Options Activity Briefing: Betting On Beer,Seeking Alpha,3/4/2016 0:00,TAP,unusual options activity briefing betting beer,negative,0.99998498,negative
Alliant Energy's Focus on Renewable Assets to Drive Growth,Zacks,3/2/2018 0:00,NEE,alliant energy focus renewable assets drive growth,neutral,0.994023144,neutral
RadioShack bids begin,Seeking Alpha,2/26/2015 0:00,GME,radioshack bids begin,negative,0.999917507,negative
Is Global Payments next target for fintech merger?,Seeking Alpha,4/3/2019 0:00,TSS,global payments next target fintech merger,negative,0.999944568,negative
Western Digital (WDC) Gains on Q4 Earnings,Accesswire,7/30/2015 0:00,WDC,western digital wdc gains earnings,neutral,0.999999642,neutral
"My Journey To Financial Independence: 86-Stock November Portfolio Update - Buying Apple, AbbVie And BMW",Seeking Alpha,12/15/2017 0:00,COR,journey financial independence stock november portfolio update buying apple abbvie bmw,negative,0.986188948,negative
Equity CEFs: Peak Despair?,Seeking Alpha,12/18/2018 0:00,CII,equity cefs peak despair,negative,0.999797285,negative
3 Challenges Ahead For American Express,Seeking Alpha,7/25/2016 0:00,AXP,challenges ahead american express,positive,0.999990344,positive
Masimo (MASI) Q4 2015 Results - Earnings Call Webcast,Seeking Alpha,2/23/2016 0:00,MASI,masimo masi results earnings call webcast,negative,0.99990201,negative
"Indexes Barely Budge In Afternoon; Toll Bros. Soars, Restaurants Sink",Investor's Business Daily,2/22/2017 0:00,PZZA,indexes barely budge afternoon toll bros soars restaurants sink,negative,0.999908447,negative
Get Greedy With My Top 5 High-Yielding DGI Picks For Feb 2016,Seeking Alpha,1/28/2016 0:00,ALJ,get greedy top high yielding dgi picks feb,negative,0.757240176,negative
Strong Fundamentals The Name Of The Game For Southern Company,Seeking Alpha,12/2/2015 0:00,GAS,strong fundamentals name game southern company,neutral,1,neutral
Southeastern Asset Management Comments on Level 3 Communications,GuruFocus,10/22/2015 0:00,LVLT,southeastern asset management comments level communications,negative,0.99997735,negative
"Morning Call For Thursday, Dec. 20",TalkMarkets,12/20/2018 0:00,LMNR,morning call thursday dec,negative,0.999982715,negative
"To Stay Inspired, Entrepreneurs Must Notice, Ask, Try",Investor's Business Daily,10/21/2014 0:00,SPLS,stay inspired entrepreneurs must notice ask try,negative,0.999765098,negative
"CECO Environmental beats by $0.05, beats on revenue",Seeking Alpha,5/7/2015 0:00,CECE,ceco environmental beats beats revenue,neutral,0.999999285,positive
JinkoSolar Holding EPS of $0.76,Seeking Alpha,11/26/2018 0:00,JKS,jinkosolar holding eps,negative,0.998060524,negative
Stocks Close Lower But Trim Losses,Investor's Business Daily,6/11/2014 0:00,SYNA,stocks close lower trim losses,neutral,0.999526143,neutral
Worth Taking Some Profits In Silver Stocks?,Seeking Alpha,7/11/2016 0:00,PAAS,worth taking profits silver stocks,negative,0.68106389,negative
Consumer - Top Gainers / Losers as of 1:30 pm,Seeking Alpha,12/15/2016 0:00,SWM,consumer top gainers losers,negative,0.995375872,negative
Deluxe Corporation 2019 Q1 - Results - Earnings Call Slides,Seeking Alpha,4/25/2019 0:00,DLX,deluxe corporation results earnings call slides,negative,0.999826968,negative
Indexes Bounce Back After Recent Weakness; HomeAway Soars,Investor's Business Daily,6/25/2013 0:00,AWAY,indexes bounce back recent weakness homeaway soars,neutral,0.983539939,neutral
Aegion Q4 Earnings in Line - Analyst Blog,Zacks,2/26/2014 0:00,AEGN,aegion earnings line analyst blog,negative,0.999972224,negative
How To Build A Portfolio With Less Risk Than The S&P 500,Seeking Alpha,1/26/2015 0:00,XOP,build portfolio less risk,negative,0.99704957,negative
Consolidated Edison Has Increased Dividends for 40 Years,GuruFocus,11/25/2014 0:00,ED,consolidated edison increased dividends years,neutral,0.970590532,neutral
"28 Dividend Increases: February 20-24, 2017 (Part 2: The Remaining Sectors)",Seeking Alpha,2/27/2017 0:00,CHS,dividend increases february part remaining sectors,negative,0.592647076,negative
'Fast Money' Recap: Gold's Problems,webmaster,1/14/2011 0:00,IBN,fast money recap gold problems,positive,0.999999166,positive
Orchard Therapeutics Begins U.S. IPO Process In Volatile Market,Seeking Alpha,10/19/2018 0:00,GRFS,orchard therapeutics begins ipo process volatile market,negative,0.924961209,negative
"REIT, Aim, Fire",Seeking Alpha,5/3/2018 0:00,TCO,reit aim fire,negative,0.997455418,negative
"HK, SD, GDP, TPLM, BBG rated Sell at Global Hunter",Seeking Alpha,3/18/2015 0:00,TPLM,gdp tplm bbg rated sell global hunter,negative,0.957334161,negative
A Breath Of Air For Suffocating Weatherford International,Seeking Alpha,6/3/2016 0:00,BHI,breath air suffocating weatherford international,negative,0.982032716,negative
Dividend Champions For April 2019,Seeking Alpha,3/31/2019 0:00,FULT,dividend champions april,negative,0.999979615,negative
"This Week In Money - February 16, 2019",Seeking Alpha,2/17/2019 0:00,GLTR,week money february,negative,0.999990582,negative
"Howard Marks Makes Major Construction Buy, 8 Others in Q3",GuruFocus,11/11/2013 0:00,DOOR,howard marks makes major construction buy others,negative,0.999859333,negative
Currents Of Disruption: Tech Set For Disruption Amid Sector Shakeup,Seeking Alpha,9/22/2018 0:00,PMR,currents disruption tech set disruption amid sector shakeup,positive,0.99938798,positive
"Alcatel-Lucent, SaskTel Complete Data Trial - Analyst Blog",Zacks,9/17/2013 0:00,HLIT,alcatel lucent sasktel complete data trial analyst blog,negative,0.999984622,negative
"Detailed Research: Economic Perspectives on Safe Bulkers, SITO Mobile, Castle Brands, Motorcar ...",GuruFocus,8/29/2018 0:00,BNFT,detailed research economic perspectives safe bulkers sito mobile castle brands motorcar,negative,0.99999845,negative
"Stacking Up The Video Game Industry (ATVI, CYOU, GAME, EA)",Investopedia,1/11/2012 0:00,CYOU,stacking video game industry atvi cyou game,negative,0.999923229,negative
Is The Commodities Rally Over? Flower Power Vs. Fundamentals,Investor's Business Daily,3/24/2016 0:00,SLB,commodities rally flower power fundamentals,neutral,0.91696161,neutral
Zacks Rank #5 Additions for Wednesday - Tale of the Tape,Zacks,9/17/2014 0:00,ASML,zacks rank additions wednesday tale tape,negative,0.997815132,negative
Energy Recap: An Interesting Week,Seeking Alpha,11/11/2016 0:00,FCG,energy recap interesting week,neutral,0.998526037,neutral
The G-20's Big Fat Zero- Now Comes The Bubble's Demise,Seeking Alpha,3/2/2016 0:00,FYLD,big fat zero comes bubble demise,positive,0.991723001,positive
Bloomberg: RadioShack may file for bankruptcy as soon as tonight,Seeking Alpha,2/4/2015 0:00,RSH,bloomberg radioshack may file bankruptcy soon tonight,negative,0.998398125,negative
Starwood/Marriott Deal: Is Bigger Better?,Seeking Alpha,4/11/2016 0:00,MAR,starwood marriott deal bigger better,neutral,0.999963045,neutral
A Temporary Pullback For Gold,Seeking Alpha,1/7/2019 0:00,SGOL,temporary pullback gold,positive,0.999359667,positive
"Crane Co. Reports In-Line Q2 Earnings, Lowers 2015 Outlook - Analyst Blog",Zacks,7/28/2015 0:00,NDSN,crane reports line earnings lowers outlook analyst blog,negative,0.99998033,negative
Peregrine Pharma Cancer Drug Unmasked by Independent Review,webmaster,3/9/2012 0:00,PPHM,peregrine pharma cancer drug unmasked independent review,negative,0.999774158,negative
"Trupanion (TRUP) Reports Q2 Loss, Tops Revenue Estimates",Zacks,7/30/2019 0:00,TRUP,trupanion trup reports loss tops revenue estimates,positive,0.998443186,positive
"Goldilocks Data Lifts Real Estate, Except Malls",Seeking Alpha,10/5/2019 0:00,LEN,goldilocks data lifts real estate except malls,negative,0.999925375,negative
Notable earnings before Thursday's open,Seeking Alpha,7/25/2018 0:00,PENN,notable earnings thursday open,negative,0.999982595,negative
Roku Shares Surge Over 40% in IPO: Should Apple and Amazon Be Worried?,Zacks,9/28/2017 0:00,TWX,roku shares surge ipo apple amazon worried,neutral,0.895175099,neutral
"The Zacks Analyst Blog Highlights: Schlumberger, Halliburton, TOTAL, SeaDrill and McDermott",Zacks,4/25/2018 0:00,HAL,zacks analyst blog highlights schlumberger halliburton total seadrill mcdermott,negative,0.999949217,negative
Consolidated-Tomoka Land sells land with a gain of $0.29/share,Seeking Alpha,10/14/2016 0:00,CTO,consolidated tomoka land sells land gain share,negative,0.999328136,negative
Petrobras says Mero Field test well reached 58K boe/day,Seeking Alpha,10/5/2018 0:00,CEO,petrobras says mero field test well reached boe day,negative,0.962061226,negative
Canadian Imperial Bank Of Commerce Added To Portfolio,Seeking Alpha,5/8/2016 0:00,PEGI,canadian imperial bank commerce added portfolio,negative,0.999857545,negative
TriNet Insights Presents: Revolutionizing Equality in the Workplace,GuruFocus,4/21/2016 0:00,TNET,trinet insights presents revolutionizing equality workplace,neutral,0.973043263,neutral
Verigy Gets Raised Bid From Advantest,webmaster,12/23/2010 0:00,ATE,verigy gets raised bid advantest,negative,0.993370056,negative
Conatus flop fails to move NASH players,Seeking Alpha,3/22/2019 0:00,CANF,conatus flop fails move nash players,positive,0.999916196,positive
Stocks to watch next week,Seeking Alpha,11/18/2017 0:00,GPS,stocks watch next week,negative,0.99994719,negative
Medtronic to Buy Mazor Robotics for Robotic Spine Surgery,Zacks,9/21/2018 0:00,MDT,medtronic buy mazor robotics robotic spine surgery,negative,0.999350488,negative
"Legg Mason's (LM) AUM Down in August, Net Outflows Recorded",Zacks,9/13/2017 0:00,LM,legg mason aum august net outflows recorded,positive,0.999995589,positive
5 Reasons to Add Ameriprise (AMP) Stock to Your Portfolio,Zacks,8/13/2018 0:00,AB,reasons add ameriprise amp stock portfolio,negative,0.997037649,negative
GW Pharmaceuticals PLC (GWPH) Outpaces Stock Market Gains: What You Should Know,Zacks,7/18/2019 0:00,GWPH,pharmaceuticals plc gwph outpaces stock market gains know,neutral,1,neutral
Tandem Diabetes: Bullish As Innovations Capitalize On A Booming Sector,Seeking Alpha,9/18/2019 0:00,PODD,tandem diabetes bullish innovations capitalize booming sector,neutral,1,neutral
"United, Southwest Raise Q4 Unit Revenue Views, Joining Delta",Investor's Business Daily,1/10/2017 0:00,ALK,united southwest raise unit revenue views joining delta,neutral,0.991448283,neutral
"Covenant Transportation misses by $0.07, revenue in-line",Seeking Alpha,10/19/2016 0:00,CVTI,covenant transportation misses revenue line,positive,0.999987483,positive
CNOOC Hits Oil in Liuhua 20-2 in Eastern South China Sea - Analyst Blog,Zacks,5/28/2015 0:00,PBA,cnooc hits oil liuhua eastern south china sea analyst blog,negative,0.99996829,negative
Biotech Leader Anika Among Top Growth Stocks To Watch,Investor's Business Daily,4/7/2016 0:00,MPWR,biotech leader anika among top growth stocks watch,neutral,0.891912639,neutral
Tesla Slashes Prices of 2 Models for China Post Tariff Cut,Zacks,12/17/2018 0:00,FOXF,tesla slashes prices models china post tariff cut,negative,0.999595463,negative
"INVESTOR ALERT: Levi & Korsinsky, LLP Reminds Shareholders of Akorn, Inc. ...",GuruFocus,4/18/2018 0:00,AKRX,investor alert levi korsinsky llp reminds shareholders akorn inc,negative,0.999979615,negative
Eagle Point Credit Company's (ECC) CEO Thomas Majewski on Q3 2016 Results - Earnings Call Transcript,Seeking Alpha,11/16/2016 0:00,ECC,eagle point credit company ecc ceo thomas majewski results earnings call transcript,negative,0.999924779,negative
Tiffany (TIF) Up 1.2% Since Last Earnings Report: Can It Continue?,Zacks,7/4/2019 0:00,TIF,tiffany tif since last earnings report continue,neutral,0.999952078,neutral
"Adamas Pharmaceuticals, Inc. (ADMS) in Focus: Stock Rises 7.04% - Tale of the Tape",Zacks,7/16/2014 0:00,RDY,adamas pharmaceuticals inc adms focus stock rises tale tape,negative,0.959275484,negative
Utilitly Stocks For Dividend Growth Investors: 2018 Review,Seeking Alpha,4/11/2018 0:00,DUK,utilitly stocks dividend growth investors review,negative,0.998505354,negative
POSCO reports FY14 earnings,Seeking Alpha,2/5/2015 0:00,PKX,posco reports earnings,negative,0.999779522,negative
The Bruce Fund Bets on Botox and Steel,GuruFocus,3/8/2018 0:00,DRRX,bruce fund bets botox steel,negative,0.999897718,negative
Assembly Biosciences Announces Management Transition,GuruFocus,5/27/2020 0:00,ASMB,assembly biosciences announces management transition,negative,0.964205384,negative
Australia And China Keep Chugging Along,Seeking Alpha,11/25/2018 0:00,YANG,australia china keep chugging along,negative,0.999908924,negative
These Fast-Moving Stocks Are Making Uber Look Even Worse,Investor's Business Daily,9/13/2019 0:00,SAIA,fast moving stocks making uber look even worse,positive,0.562748969,positive
A Quantitative Approach To Finding Wide-Moat Stocks,Seeking Alpha,4/2/2018 0:00,NVO,quantitative approach finding wide moat stocks,negative,0.999993563,negative
Texas Instruments Revises 1Q Guidance - Analyst Blog,Zacks,3/8/2013 0:00,KLAC,texas instruments revises guidance analyst blog,negative,0.999379277,negative
"Victory Capital Management Inc Buys Carter's Inc, Healthcare Trust of America Inc, The Kroger ...",GuruFocus,11/1/2018 0:00,NNN,victory capital management inc buys carter inc healthcare trust america inc kroger,negative,0.999984145,negative
Are These The 'Safest' Companies For The Canadian Wide Moat 7?,Seeking Alpha,1/14/2019 0:00,BAM,safest companies canadian wide moat,negative,0.976157546,negative
Terraform Power's Recent Moves Support Dividend Growth Of At Least 15% In 2016,Seeking Alpha,12/17/2015 0:00,TERP,terraform power recent moves support dividend growth least,neutral,0.999988437,neutral
OHA Investment Corporation Announces Quarterly Distribution of $….…— per Share,GuruFocus,5/7/2019 0:00,OHAI,oha investment corporation announces quarterly distribution per share,negative,0.999952316,negative
Stocks On Track For Biggest Losses Of 2012,Investor's Business Daily,3/6/2012 0:00,HMSY,stocks track biggest losses,positive,0.998528838,positive
Penn National-Pinnacle merger talk heats up again,Seeking Alpha,11/30/2017 0:00,PENN,penn national pinnacle merger talk heats,negative,0.998955011,negative
2 Stocks to Sell Because Time Has Passed Them By,TheStreet.Com,6/22/2012 0:00,SIRI,stocks sell time passed,negative,0.813698232,negative
"MetLife Ups Dividend by 27%, Shares Gain - Analyst Blog",Zacks,4/23/2014 0:00,RNR,metlife ups dividend shares gain analyst blog,neutral,0.999377549,neutral
"Star Bulk Poised To Rip Higher, Buyback Coming?",Seeking Alpha,11/28/2018 0:00,SBLK,star bulk poised rip higher buyback coming,neutral,0.997256577,neutral
"Community Trust Bancorp beats by $0.03, misses on revenue",Seeking Alpha,1/20/2016 0:00,CTBI,community trust bancorp beats misses revenue,positive,0.998262703,positive
Whole Foods - Disappointment Improves Appeal As I Am Still Looking For Better Entry Levels,Seeking Alpha,5/13/2015 0:00,WFM,whole foods disappointment improves appeal still looking better entry levels,neutral,0.999999881,neutral
"FS Investment, Corporate Capital Trust agree to merge in stock transaction",Seeking Alpha,7/23/2018 0:00,FSIC,investment corporate capital trust agree merge stock transaction,negative,0.998942792,negative
Week Ahead: Busy 2Q Earnings Schedule,webmaster,7/22/2011 0:00,CVC,week ahead busy earnings schedule,negative,0.642253816,negative
"Merger Arbitrage Mondays - January 28, 2019",Seeking Alpha,1/29/2019 0:00,TSRO,merger arbitrage mondays january,negative,0.999987602,negative
Stocks To Watch: A New Beverage Giant Steps Out,Seeking Alpha,7/7/2018 0:00,HA,stocks watch new beverage giant steps,negative,0.846711516,negative
4 Enticing Restaurant Stocks this Earnings Season - Earnings ESP,Zacks,1/28/2015 0:00,LOCO,enticing restaurant stocks earnings season earnings esp,neutral,0.925700068,neutral
"D. Scott Neal, Inc. Buys NVIDIA Corp, Micron Technology Inc, General Electric Co, Sells iShares ...",GuruFocus,7/14/2017 0:00,SYMC,scott neal inc buys nvidia corp micron technology inc general electric sells ishares,negative,0.999984622,negative
Should Dividend Growth Investors Fear Interest Rate Volatility?,Seeking Alpha,3/19/2015 0:00,VIG,dividend growth investors fear interest rate volatility,positive,0.800561011,positive
"Boston Financial Mangement Inc Buys KAR Auction Services Inc, IAA Inc, FirstService Corp, ...",GuruFocus,11/8/2019 0:00,DUK,boston financial mangement inc buys kar auction services inc iaa inc firstservice corp,negative,0.999911189,negative
Why Should You Dump Broadridge (BR) from Your Portfolio?,Zacks,3/27/2017 0:00,DST,dump broadridge portfolio,negative,0.995284498,negative
Can Valero Energy (VLO) Maintain Earnings Beat Streak in Q3?,Zacks,10/22/2018 0:00,EOG,valero energy vlo maintain earnings beat streak,neutral,0.999999762,positive
EQT Corporation (EQT): New Analyst Report from Zacks Equity Research - Zacks Equity Research Report,Zacks,2/17/2014 0:00,EQT,eqt corporation eqt new analyst report zacks equity research zacks equity research report,negative,0.999916553,negative
Horizon Pharma Hits High As Q2 Sales Beat Street,Investor's Business Daily,7/20/2015 0:00,HZNP,horizon pharma hits high sales beat street,neutral,0.999846578,neutral
Gap Shares Looking Attractive Around $21,Seeking Alpha,5/29/2019 0:00,GPS,gap shares looking attractive around,neutral,0.999999642,neutral
"Week In Review: How Trump's Policies Moved Stocks - March 9, 2019",TalkMarkets,3/9/2019 0:00,CYH,week review trump policies moved stocks march,negative,0.999992847,negative
Canadian Imperial Bank of Commerce 2019 Q1 - Results - Earnings Call Slides,Seeking Alpha,2/28/2019 0:00,CM,canadian imperial bank commerce results earnings call slides,negative,0.999872684,negative
The Differences Between The 1920s And The 2010s,Seeking Alpha,3/14/2019 0:00,SCHB,differences,negative,0.999995947,negative
